product_category,product_description
House,Cinnamon Rolls
Kitchen,Berry Brulee
Speed,Alize Gold Passion
Superpower,"Mushroom - Enoki, Dry"
Galactic,Tomatoes - Hot House
Phenomeno,Pumpkin - Seed
Totalitarian,Tea - Earl Grey
Pizzapasta,Wiberg Super Cure
Venezuela,Pork - Kidney
Cantonito,Tarts Assorted
Lol,Jicama
Pretrucious,Wine - Shiraz South Eastern
Pulis,Table Cloth 81x81 Colour
Banned,Cheese - Montery Jack
Not Banned,Bread - 10 Grain
Gas,Bread - Kimel Stick Poly
Granon,Mince Meat - Filling
Carniceria,Aspic - Clear
Pimienta,Veal - Liver
Cebolla,Zucchini - Green
House,"Wine - Red, Colio Cabernet"
Kitchen,Pork - Bones
Speed,Pears - Anjou
Superpower,Broom Handle
Galactic,Assetate - Baking
Phenomeno,"Olives - Green, Pitted"
Totalitarian,Wooden Mop Handle
Pizzapasta,Zucchini - Green
Venezuela,Taro Leaves
Cantonito,"Tortillas - Flour, 12"
Lol,Sauce - Demi Glace
Pretrucious,Shark - Loin
Pulis,"Shrimp, Dried, Small / Lb"
Banned,Tomatoes Tear Drop
Not Banned,Pork - European Side Bacon
Gas,Carrots - Mini Red Organic
Granon,Wiberg Super Cure
Carniceria,Wine - Sawmill Creek Autumn
Pimienta,Ham - Virginia
Cebolla,Lemons
House,Beef - Top Sirloin
Kitchen,Wine - Conde De Valdemar
Speed,Papadam
Superpower,Beer - Camerons Cream Ale
Galactic,Swordfish Loin Portions
Phenomeno,Carbonated Water - Raspberry
Totalitarian,"Iced Tea - Lemon, 460 Ml"
Pizzapasta,Wine - Vineland Estate Semi - Dry
Venezuela,Spinach - Spinach Leaf
Cantonito,Compound - Rum
Lol,"Beef - Roasted, Cooked"
Pretrucious,Compound - Rum
Pulis,Cheese - Goat
Banned,"Syrup - Golden, Lyles"
Not Banned,Cookie Chocolate Chip With
Gas,"Chicken - Leg, Fresh"
Granon,Mace Ground
Carniceria,Beans - Green
Pimienta,Pate - Peppercorn
Cebolla,Coffee - Ristretto Coffee Capsule
House,Salt - Kosher
Kitchen,Arizona - Plum Green Tea
Speed,Pastry - Carrot Muffin - Mini
Superpower,Temperature Recording Station
Galactic,Wine - Cave Springs Dry Riesling
Phenomeno,Muffin - Blueberry Individual
Totalitarian,Kaffir Lime Leaves
Pizzapasta,Gingerale - Diet - Schweppes
Venezuela,Dasheen
Cantonito,"Pasta - Fettuccine, Dry"
Lol,Seabream Whole Farmed
Pretrucious,Bread - French Stick
Pulis,Milk - Homo
Banned,"Pasta - Lasagna Noodle, Frozen"
Not Banned,Sage - Ground
Gas,"Turkey - Breast, Boneless Sk On"
Granon,"Lamb - Pieces, Diced"
Carniceria,Chocolate - White Coating
Pimienta,"Lemonade - Natural, 591 Ml"
